"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Sony NEX-5R
主要賣點,高速 Contrast 及 Phase Detection AF、支援 Wi-Fi 及 apps 下載，可 180 度翻轉 3  吋 Touch Screen、最高 ISO 25600 感光
相機格式,1670 萬像素，可換鏡頭式數碼相機
推出日期,約 2012 年 9 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,1670 萬像素
有效像素,1610 萬像素
感光元件大小,23.4 x 15.6 mm
感光元件種類,CMOS
最大解像度,4912 x 3264
解像度選擇,"4912 x 3264 ; 3568 x 2368 ; 2448 x 1624 ; 4912 x 2760 ; 3568 x 2000 ; 2448 x 1376
Sweep Panorama : 12416 x 1856 ; 2160 x 5536 ; 8192 x 1856 ; 2160 x 3872
3D Sweep Panorama : 7152 x 1080 ; 4192 x 1080 ; 1920 x 1080"
壓縮模式,JPEG
質素調較,"Fine, Standard"
無壓縮影像格式,RAW、RAW + JPEG (Fine)、RAW + JPEG (Standard)
影像比例,3:2 / 16:9 / Sweep Panorama / 3D
動畫解像度,"(NTSC)1920 x 1080 60i/p ; 1920 x 1080 24i/p ; 1440 x 1080 @ 29.97fps ; 640 x 480 @ 29.97fps
(PAL)1920 x 1080 50i/p ; 1440 x 1080 @ 29.97fps ; 640 x 480 @ 29.97fps 
"
動畫種類,AVCHD 2.0 / MPEG-4 AVC (H.264)
動畫音效,"立體聲, 支援外置收音"
訊號轉換器,12 bits
雜訊消除,支援，可選擇開關
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,Clear Image ZoomX
光圈範圍,視鏡頭而定
焦距變換比率,1.5 倍
自動對焦情況,25 個對焦點，支援 Contrast AF、Phase Detection 相位偵測、多區域、單點對焦、選定單點對焦、連續對焦
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Sony E 接環，可透過 LA-EA1 接環使用 Sony Alpha 鏡頭
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/4000 至 30 秒，支援 B 快門
測光模式,49 區測光重心偏重平均測光重點測光
曝光補償,-3EV 至 +3EV 以 1/3 EV 級調整
自動曝光鎖,支援
包圍曝光,以 0.3 或 0.7 EV 間距拍攝 3 張
ISO 感光值,自動 100 / 200 / 400 / 800 / 1600 / 6400 / 12800 / 25600
白平衡設定,自動、日光、陰影、密雲、鎢絲燈、光管、閃燈支援，另有指定 Kelvin 模式 (2500 – 9900K 備有19 級)，紅色 / 綠色補償手動白平衡設定手動白平衡設定
自拍,2 秒及10 秒延時自拍自拍模式自拍模式
連拍,10 fps
"

	閃光燈 FLASHES"
閃燈模式,補光閃燈 / 紅眼消減 / 後簾快門同步 / 最高同步快門為 1/160s
閃燈範圍,3 米
外接閃燈,支援，支援，Smart Accessory Terminal
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"3.0 吋  (921,600 像素) 多角度 XtraFine touch-sensitive* TruBlack LCD 熒光幕，可 180°  上翻及 50°   熒光幕 ，視野率為 100 %"
光學觀景器,可另配電子觀景器，光學觀景器的準確度為 100%
播放放大,13X
"

	資料存取 DATA TRANSFER"
儲存媒體,SD/SDHC/SDXCMemory Stick Pro Duo / Pro HG Duo
接口,USB 2.0 Full Speed 12MB
視頻輸出,PAL / NTSC / HDMI
打印協定,PictBridge / DPOF /  Exif Print  /  PIM III
"

	電源 POWER SUPPLIES"
電池種類,NPFW50 專用鋰電池
隨機電池及充電器,NPFW50  專用鋰電池及專用充電器
電池壽命,330 張 (CIPA 標準)
支援火牛輸入,支援
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,
重量(含電池),276 克
體積,111 x 59 x 39 mm
"

	其它資料 OTHERS"
搖遠控制,支援，RMT-DSLR1
"

	其它資料 OTHERS"
附註,"設有專用 PlayMemories Camera Apps，可下載用及更新
內建 Wi-Fi 功能，支援 Direct Upload 上載相片至 Facebook
新增 99 個 Phase Detection 感測器於 CMOS 上，可以相位對焦加快對焦速度。"
 ,規格比拼
