"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Sony A7R III
主要賣點,"4,240 萬像素Exmor R 全片幅 CMOS5 軸 5.5 級機身防震最高 ISO 32000 感光度10fps 追焦連拍399 點相位檢測對焦點4K 影片15 級動態範圍雙插卡"
相機格式,4360 萬像素，可換鏡頭式數碼相機
推出日期,約 2017 年 9 月 
耐用特性,防水滴防塵設計
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,4360 萬像素
有效像素,4240 萬像素
感光元件格式,35mm 全片幅
感光元件大小,35.9 x 24 mm
感光元件種類,CMOS
感光元件生產商,Sony
最大解像度,5472 x 3648
解像度選擇,"[3:2 比例]
35mm 全片幅：7952 x 5304（42M）；5168 x 3448（18M）；3984 x 2656（11M） APS-C 片幅：5168 x 3448（18M）；3984 x 2656（11M）；2592 x 1728（4.5M）

[16:9 比例]
35mm 全片幅：7952 x 4472（36M）；5168 x 2912（15M）；3984 x 2240（8.9M） APS-C 片幅：5168 x 2912（15M）；3984 x 2240（8.9M）；2592 x 1456（3.8M）"
壓縮模式,JPEG (EXIF 2.31)
質素調較,Extra Fine、Fine、Standard
無壓縮影像格式,RAW
影像比例,3:2 / 16:9
動畫解像度,"
XAVC S 4K（Super 35mm 格式全像素輸出）：3840 x 2160（24p/25p/30p）

XAVC S HD：1920 x 1080（24p/25p/50p/60p/100p/120p）

AVCHD：1920 x 1080（50i/60i）"
動畫種類,XAVC S：MPEG-4 AVC/H.264；AVCHD：MPEG-4 AVC/H.264
動畫音效,AVCHD：Dolby® Digital (AC-3)，2 聲道，Dolby® Digital Stereo Creator；XAVC S：LPCM 2 聲道
訊號轉換器,14 bits
雜訊消除,支援
防手震功能,5 軸 5.5 級感光元件防震
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1 倍
自動對焦情況, 自動 AF（AF-A）；單點 AF（AF-S）；連續 AF（AF-C）；直接手動對焦（DMF）；手動對焦（MF）  425 點對比度式自動對焦點／399 點相位檢測自動對焦點（35mm 全片幅）；323 點相位檢測自動對焦點（全片幅鏡頭以 APS-C 畫角拍攝）；255 點相位檢測自動對焦點（APS-C 全片幅）支援人類／動物眼部自動對焦（可在 AF-C 模式使用）
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Sony E 接環
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/8000 至 30 秒，支援 B 快門
測光模式,多區分割、中央偏重、定點、定點（標準 / 大）、全屏平均、高光
曝光補償,+/-5EV（可選擇 1/3EV、1/2EV 級調校），（配合曝 以 1/3EV 或 1/2EV 級調 級調整
自動曝光鎖,支援
包圍曝光,"包圍：連續拍攝；包圍：單張，可選擇 3 / 5 / 9 幅相片；3 或 5 幅：1/3, 1/2, 2/3, 1.0, 2.0 或 3.0 EV 增減；9 幅：1/3, 1/2, 2/3 或 1.0 EV 增減"
ISO 感光值,ISO 100 - 32000（可 1/3 級調整）；可擴展至 ISO 50 - ISO 102400
白平衡設定,自動白平衡；日光；陰影；陰天；白熾燈；螢光燈；（暖白／冷白／日光白／日光）；閃光燈；色溫 2500 至 9900K；彩色濾鏡（G7 至 M7：57 級；A7 至 B7：29 級）；自訂；水中；支援手動白平衡設定支援（G7 至 M7，57 級）（A7 至 B7，29 級）手動白平衡設定
自拍,10 秒延遲／5 秒延遲／2 秒延遲／連續自拍計時器（10 秒延遲後拍攝 3 張／10 秒延遲後拍攝 5 張／5 秒延遲後拍攝 自拍模式
連拍, H+：最高 10fps（最多可連拍 76 張 JPEG Extra Fine L）  H：最高 8fps  Mid：最高 6fps  Low：最高 3fps
定時拍攝,支援（3.0 版本或更新韌體）
"

	閃光燈 FLASHES"
閃燈模式,閃光燈關、自動閃光燈、強制閃燈、低速同步、後簾同步、防紅眼功能（可選擇開／關）、無線、高速同步
外接閃燈,支援，支援，兼容多介面熱靴 Sony α 系統閃光燈
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"觸控式、3 吋  (1,440,000 像素) 多角度觸控屏幕，上調最大約 107 度，下調最大約 41 度 熒光幕 ，視野率為 100 %"
光學觀景器,"0.5""、368 萬像素電子觀景器，光學觀景器的準確度為 100%"
"

	資料存取 DATA TRANSFER"
儲存媒體,Memory Stick PRO Duo；Memory Stick PRO-HG Duo；Memory Stick XC-HG Duo；SD 記憶卡；SDHC 記憶卡（兼容 UHS-I/II）；SDXC 記憶卡（兼容 UHS-I/II）
接口,USB 3.1 Gen 1、Micro USB、Micro HDMI、3.5mm 耳機、3.5mm 收音咪
視頻輸出,Micro HDMI
打印協定,"Exif Print, PIM III, DPOF"
"

	電源 POWER SUPPLIES"
電池種類,NP-FZ100 專用鋰電池
電池手柄,VG-C3EM 垂直手柄
隨機電池及充電器,NP-FZ100 專用鋰電池及BC-QZ1 專用充電器
電池壽命,約 530 張（觀景器）；約 650 張（LCD 屏幕）（CIPA 標準）
支援火牛輸入,支援（另購 AC-PW20 火牛）
"

	機身資料 PHYSICAL SPECIFICATIONS"
耐用特性,防水滴防塵設計
腳架座材料,金屬
機身重量,572 克
重量(含電池),657 克
體積,126.9 x 95.6 x 62.7mm
"

	其它資料 OTHERS"
 ,規格比拼
